代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
IC170Q01JA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,Desktop or laptop computer,從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q02JA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,Smartphone (i.e. mobile phone with Internet access),從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q03JA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,"<Tablet device> (e.g.<iPad®>, < Galaxy Tablet®>,) or <e-book reader> (e.g. <Amazon® Kindle™>, <Kobo®>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q04JA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,Internet access (except on smartphones),從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q05JA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,"School portal (to consult timetable, absences, etc.)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q06JA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,"Educational software, games or Apps, other learning tools (e.g. <CK-12™>, <Lucidchart>, or <Mathalicious®> online support)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q07JA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,"A learning management system or school learning platform (e.g. <Blackboard®>, <Edmodo®>, <Moodle®>, <Google® Classroom™>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q08DA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,"<Virtual reality (VR) hardware> (e.g. <Google Cardboard®>, <Oculus>, <Class VR>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q09DA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,"Robotic devices (e.g <3D printers>, <laser cutters>, <drones>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
IC170Q10DA,IC170,,,,"This school year, how often did you use the following <digital resources> at school?",,"<Artificial Intelligence (AI)> tools or software (e.g. <ChatGPT>, <MidJourney>, <Stable Diffusion>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me at school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me at school,,,
