代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
SC001Q01TA,SC001,,,,Which of the following definitions best describes the community in which your school is located?,,Which of the following definitions best describes the community in which your school is located?,"A village, hamlet or rural area (fewer than 3 000 people) | A small town (3 000 to about 15 000 people) | A town (15 000 to about 100 000 people) | A city (100 000 to about 1 000 000 people) | A large city (1 000 000 to about 10 000 000 people) | A megacity (with over 10 000 000 people)","A village, hamlet or rural area (fewer than 3 000 people) | A small town (3 000 to about 15 000 people) | A town (15 000 to about 100 000 people) | A city (100 000 to about 1 000 000 people) | A large city (1 000 000 to about 10 000 000 people) | A megacity (with over 10 000 000 people)",,,
SC002Q01TA_P,SC002,,,,"As of <February 1, 2025>, what was the total school enrolment (number of students)?",,Percentage of boys,,,,,
SC002Q02TA_P,SC002,,,,"As of <February 1, 2025>, what was the total school enrolment (number of students)?",,Percentage of girls,,,,,
SC003Q01TA,SC003,,,,What is the average size of <test language> classes in <national modal grade for 15-year-olds> in your school?,,What is the average size of <test language> classes in <national modal grade for 15-year-olds> in your school?,15 students or fewer | 16-20 students | 21-25 students | 26-30 students | 31-35 students | 36-40 students | 41-45 students | 46-50 students | More than 50 students,15 students or fewer | 16-20 students | 21-25 students | 26-30 students | 31-35 students | 36-40 students | 41-45 students | 46-50 students | More than 50 students,,,
SC004Q01TA_Q,SC004,,,,The goal of the following set of questions is to gather information about the student-<digital device> ratio for students in the <national modal grade for 15-year-olds> at your school.,,"At your school, what is the total number of students in the <national",Bottom international quartile - Median: 12 | Second international quartile - Median: 39 | Third international quartile - Median: 89 | Top international quartile - Median: 203 | not administered/not applicable | no response,Bottom international quartile - Median: 12 | Second international quartile - Median: 39 | Third international quartile - Median: 89 | Top international quartile - Median: 203 | not administered/not applicable | no response,,,
SC004Q02TA_Q,SC004,,,,The goal of the following set of questions is to gather information about the student-<digital device> ratio for students in the <national modal grade for 15-year-olds> at your school.,,"Approximately, how many desktop or laptop computers are available for",Bottom international quartile - Median: 6 | Second international quartile - Median: 23 | Third international quartile - Median: 45 | Top international quartile - Median: 120 | not administered/not applicable | no response,Bottom international quartile - Median: 6 | Second international quartile - Median: 23 | Third international quartile - Median: 45 | Top international quartile - Median: 120 | not administered/not applicable | no response,,,
SC004Q03TA_Q,SC004,,,,The goal of the following set of questions is to gather information about the student-<digital device> ratio for students in the <national modal grade for 15-year-olds> at your school.,,"Approximately, how many of these desktop, laptop or computers are con",Bottom international quartile - Median: 2 | Second international quartile - Median: 20 | Third international quartile - Median: 41 | Top international quartile - Median: 118 | not administered/not applicable | no response,Bottom international quartile - Median: 2 | Second international quartile - Median: 20 | Third international quartile - Median: 41 | Top international quartile - Median: 118 | not administered/not applicable | no response,,,
SC004Q07NA_Q,SC004,,,,The goal of the following set of questions is to gather information about the student-<digital device> ratio for students in the <national modal grade for 15-year-olds> at your school.,,"Approximately, how many desktop or laptop computers with internet con",Bottom international quartile - Median: 2 | Second international quartile - Median: 12 | Third international quartile - Median: 35 | Top international quartile - Median: 87 | not administered/not applicable | no response,Bottom international quartile - Median: 2 | Second international quartile - Median: 12 | Third international quartile - Median: 35 | Top international quartile - Median: 87 | not administered/not applicable | no response,,,
SC004Q08DA_Q,SC004,,,,The goal of the following set of questions is to gather information about the student-<digital device> ratio for students in the <national modal grade for 15-year-olds> at your school.,,"Approximately, how many tablet devices (e.g. <iPad®>, <Galaxy Book®",Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,
SC004Q09DA_Q,SC004,,,,The goal of the following set of questions is to gather information about the student-<digital device> ratio for students in the <national modal grade for 15-year-olds> at your school.,,"Approximately, how many e-book readers (i.e. portable device for read",Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,
SC011Q01TA,SC011,,,,Which of the following statements best describes the schooling available to students in your location?,,Which of the following statements best describes the schooling available to students in your location?,There are two or more other schools in this area that compete for our students | There is one other school in this area that competes for our students | There are no other schools in this area that compete for our students | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,There are two or more other schools in this area that compete for our students | There is one other school in this area that competes for our students | There are no other schools in this area that compete for our students | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q01TA,SC012,,,,How often are the following factors considered when students are admitted to your school?,,Student’s record of academic performance (including placement tests),從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
